269.711,289.623,148.738,172.608,0.991727
67.7851,90.3031,155.343,183.404,0.999527
67.8036,90.1167,149.612,177.798,0.999476
73.596,96.1367,155.201,183.8,0.997654
73.6681,96.1507,149.422,178.077,0.997308
187.13,206.22,159.031,182.942,0.991362
187.304,206.523,152.934,176.518,0.997419
192.966,212.319,159.08,182.905,0.997134
192.771,212.198,153.174,177.014,0.999144
247.742,268.714,159.388,185.248,0.994728
241.471,263.038,159.787,185.007,0.991836
275.51,295.482,154.87,178.232,0.999463
269.964,289.961,154.598,178.33,0.999456
387.091,407.331,160.169,183.835,0.993514
465.65,484.71,159.311,183.356,0.996417
459.759,478.789,159.697,183.785,0.993074
695.273,716.735,157.963,184.281,0.998614
701.396,722.764,158.227,184.626,0.994308
132.024,150.541,172.829,195.24,0.992571
247.868,269.081,165.787,191.007,0.999687
241.872,263.474,165.58,190.777,0.999499
310.42,331.395,167.982,193.496,0.999175
304.962,325.383,168.173,192.908,0.993397
310.686,331.305,161.798,187.372,0.996609
336.199,354.483,166.443,187.951,0.990984
363.66,384.784,168.605,194.804,0.999666
364,385.053,162.15,188.296,0.99905
369.505,390.134,168.33,194.394,0.998911
369.693,390.272,162.472,188.647,0.995311
387.931,407.363,166.24,189.77,0.998992
465.901,484.612,165.117,189.045,0.99923
460.322,479.099,165.498,189.033,0.998432
568.079,589.945,171.784,196.296,0.996674
561.738,583.564,172.13,196.57,0.993932
567.887,589.792,165.809,190.59,0.999498
561.85,583.583,165.982,190.501,0.999084
633.851,656.249,168.118,194.035,0.998284
634.36,656.484,162.298,188.294,0.991407
639.818,662.367,167.73,193.991,0.999132
639.668,662.168,162.46,188.432,0.995917
695.263,716.742,164.148,190.752,0.99978
701.968,722.907,163.774,190.153,0.999201
137.54,156.327,178.35,201.283,0.990491
131.801,150.77,178.15,201.274,0.998231
414.607,432.411,178.412,200.701,0.991587
504.411,524.112,179.525,204.527,0.99947
510.741,530.456,179.123,203.958,0.998445
554.714,578.565,249.186,278.656,0.993181
560.809,584.758,249.041,278.513,0.992989
65.3379,87.4364,261.693,288.705,0.998813
133.39,155.868,260.145,287.692,0.99563
133.491,155.86,254.576,282.275,0.999502
138.982,161.563,260.142,287.853,0.99219
139.27,161.884,254.328,282.372,0.999393
201.424,222.334,256.137,283.853,0.995448
207.206,228.683,256.501,284.34,0.99989
201.514,223.185,256.791,284.469,0.998245
272.028,291.874,258.052,283.547,0.999711
266.438,286.371,258.192,283.716,0.997448
272.353,292.045,251.785,277.357,0.998771
266.288,286.145,251.81,276.988,0.992055
493.656,514.934,260.957,287.125,0.99614
499.058,520.512,261.012,287.388,0.998706
554.41,578.261,254.636,283.879,0.999873
554.802,578.396,249.098,277.803,0.99735
561.228,584.746,254.827,283.963,0.99983
561.163,584.385,249.239,278.059,0.99552
618.294,640.732,261.544,286.132,0.996813
59.1022,81.9051,267.173,295.072,0.998114
65.0667,87.5448,267.385,294.706,0.999913
59.4135,81.9116,267.376,294.574,0.994913
65.0298,87.4516,261.611,288.598,0.995478
207.222,228.505,262.695,290.549,0.999256
328.941,348.148,269.473,292.629,0.995859
323.082,342.637,269.508,292.913,0.998944
380.716,399.127,269.996,293.396,0.996323
386.547,405.095,270.05,293.587,0.999152
431.19,450.387,268.791,293.039,0.993269
425.623,445.324,268.684,293.398,0.998722
493.988,514.895,266.439,292.581,0.999561
499.3,520.505,266.656,292.913,0.999802
618.125,640.764,267.758,292.763,0.999567
624.719,646.559,267.843,292.624,0.997984
