16250,0.62713,1.16155,-0.641878,0.460859,0.999528
16252,0.59424,-1.30304,-0.687168,0.483299,0.999476
16461,-0.901199,-0.75866,-1.37947,-0.355771,0.999146
16585,1.51934,0.0613557,-1.24159,-0.457869,0.999461
16586,-0.89196,0.0268208,-1.23652,-0.379888,0.999453
17782,0.968584,-0.3158,-0.939803,-0.0735131,0.999688
17783,-1.54759,-0.40074,-0.848909,-0.0779193,0.999503
17887,0.354683,0.602467,-0.994241,-0.0141408,0.999174
17972,0.931279,0.979485,-0.96011,0.115116,0.999667
17974,1.0502,-1.80379,-0.976888,0.104631,0.999054
18139,0.646445,-0.826777,-1.56594,-0.337192,0.999222
18309,1.1089,-0.644258,-0.780105,-0.162255,0.999502
18310,-1.5324,-0.626494,-0.819191,-0.215652,0.999091
18433,-0.66644,0.648324,-0.636438,0.124697,0.999126
18518,0.531829,-0.683599,-0.877825,0.192162,0.999779
18538,-1.70444,-0.873748,-1.00505,0.14984,0.999199
19442,0.632794,0.0110768,-1.30898,-0.116937,0.999472
26269,1.26581,-0.396165,-0.673688,0.394307,0.999499
26289,-1.17836,-0.42646,-0.619657,0.4565,0.999393
26394,0.134239,0.383093,-0.877949,0.420171,0.999891
26497,0.136431,0.782525,-1.27272,-0.0198421,0.99971
26960,0.97616,0.18126,-0.352898,0.666289,0.999872
26980,-1.17791,0.234406,-0.422429,0.648702,0.99983
27400,-0.19292,-0.217145,-0.651112,0.323976,0.999912
27631,0.103222,-1.94448,-0.923599,0.422488,0.999258
27925,-0.383888,0.0876041,-1.61241,-0.420196,0.999156
28094,1.7959,-0.817991,-1.012,0.105598,0.999564
28114,-0.821287,-0.710998,-0.941554,0.127556,0.999803
28304,0.623891,-0.526322,-0.614755,-0.117052,0.999568
